Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Proj,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,FanDuel,249.5,over,259.92,116,,0.4630,0.4630,,1,0.5450,0.0821,0.0821,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,17795,MarShawn Lloyd,GB,RB,vs ATL,rushYds,theScore,19.5,over,45.05,-250,,0.7143,0.7143,,1,0.7963,0.0820,0.0820,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18515,Kaleb Johnson,GB,RB,vs ATL,rushYds,Hard Rock,57.5,under,21.07,-475,300,0.8261,0.7677,0.0761,0,0.9081,0.0820,0.1404,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15265,Kyle Pitts,ATL,TE,at GB,recYds,Hard Rock,30.5,over,40.08,-155,110,0.6078,0.5607,0.0840,0,0.6892,0.0814,0.1285,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,10819,Derrick Henry,BAL,RB,at DAL,rushYds,Caesars,59.5,over,97.69,-345,,0.7753,0.7753,,1,0.8566,0.0813,0.0813,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,receptions,Caesars,5.5,over,4.77,200,,0.3333,0.3333,,1,0.4145,0.0812,0.0812,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,recYds,BetRivers,49.5,over,64.26,-130,,0.5652,0.5652,,1,0.6464,0.0812,0.0812,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,receptions,Hard Rock,4.5,under,4.13,105,-135,0.4878,0.4592,0.0623,0,0.5688,0.0810,0.1096,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15868,Drake London,ATL,WR,at GB,recYds,Hard Rock,83.5,under,61.67,-275,190,0.7333,0.6802,0.0782,0,0.8140,0.0807,0.1339,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,rushYds,Caesars,79.5,over,87.97,-115,,0.5349,0.5349,,1,0.6155,0.0806,0.0806,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,17795,MarShawn Lloyd,GB,RB,vs ATL,recYds,DraftKings,24.5,over,12.1,820,,0.1087,0.1087,,1,0.1893,0.0806,0.0806,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,12483,Josh Allen,BUF,QB,vs LAC,passYds,BetRivers,249.5,over,256.07,123,,0.4484,0.4484,,1,0.5291,0.0806,0.0806,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,10819,Derrick Henry,BAL,RB,at DAL,rushYds,DraftKings,89.5,over,97.69,-104,,0.5098,0.5098,,1,0.5904,0.0806,0.0806,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,rushYds,Hard Rock,79.5,over,87.97,-115,-120,0.5349,0.4951,0.0803,0,0.6155,0.0806,0.1204,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,14411,CeeDee Lamb,DAL,WR,vs BAL,receptions,Hard Rock,4.5,under,5.87,375,-700,0.2105,0.1939,0.0855,0,0.2911,0.0806,0.0972,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,12477,DJ Moore,BUF,WR,vs LAC,recYds,DraftKings,24.5,over,52.56,-447,,0.8172,0.8172,,1,0.8975,0.0804,0.0804,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,recYds,Hard Rock,20.5,under,32.4,350,-650,0.2222,0.2041,0.0889,0,0.3026,0.0804,0.0986,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,Hard Rock,15.5,over,42.06,-500,300,0.8333,0.7692,0.0833,0,0.9138,0.0804,0.1445,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,11008,Dak Prescott,DAL,QB,vs BAL,passTD,Hard Rock,1.5,under,1.57,120,-160,0.4545,0.4248,0.0699,0,0.5347,0.0801,0.1098,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,recYds,Hard Rock,64.5,over,64.26,140,-195,0.4167,0.3866,0.0777,0,0.4967,0.0800,0.1100,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
