Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Odds,ImpliedProb,OurProb,Edge,EdgeBucket,FlatStakeUnits,KellyStakeUnits,KellyFractionUsed,CapturedAt,Status,Actual,PnlFlatUnits,PnlKellyUnits
2026,1,16886,C.J. Stroud,HOU,QB,vs BUF,rushYds,draftkings,9.5,-111,0.5261,0.6342,0.1082,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16899,Quentin Johnston,LAC,WR,vs ARI,recYds,draftkings,42.5,-110,0.5238,0.6320,0.1082,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18472,Harold Fannin,CLE,TE,@ JAX,recYds,draftkings,34.5,-111,0.5261,0.6340,0.1079,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,12514,Dalton Schultz,HOU,TE,vs BUF,recYds,draftkings,31.5,-109,0.5215,0.6282,0.1067,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18562,Pat Bryant,DEN,WR,@ KC,receptions,draftkings,2.5,123,0.4484,0.5545,0.1061,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,11698,Samaje Perine,CIN,RB,vs TB,receptions,betrivers,1.5,143,0.4115,0.5172,0.1057,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15459,Noah Gray,KC,TE,vs DEN,recYds,fanduel,9.5,-114,0.5327,0.6372,0.1045,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18534,Tyler Warren,IND,TE,vs BAL,receptions,betrivers,4.5,-125,0.5556,0.6597,0.1042,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13590,Tony Pollard,TEN,RB,vs NYJ,receptions,betrivers,1.5,-113,0.5305,0.6340,0.1035,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15853,George Pickens,DAL,WR,@ NYG,recYds,draftkings,67.5,-111,0.5261,0.6289,0.1028,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13517,Jakobi Meyers,JAX,WR,vs CLE,recYds,draftkings,35.5,-113,0.5305,0.6331,0.1026,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16658,Dontayvion Wicks,PHI,WR,vs WAS,recYds,fanduel,28.5,-114,0.5327,0.6351,0.1024,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14394,D'Andre Swift,CHI,RB,@ CAR,receptions,hardrock,1.5,-170,0.6296,0.7309,0.1012,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16661,De'Von Achane,MIA,RB,@ LV,rushYds,betrivers,66.5,-118,0.5413,0.6421,0.1008,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16895,Jordan Addison,MIN,WR,vs GB,recYds,circasports,42.5,-110,0.5238,0.6246,0.1008,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,19231,Makai Lemon,PHI,WR,vs WAS,recYds,draftkings,23.5,-110,0.5238,0.6235,0.0997,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15404,Jaylen Waddle,DEN,WR,@ KC,receptions,fanduel,4.5,-114,0.5327,0.6320,0.0993,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18574,Jaxson Dart,NYG,QB,vs DAL,passYds,draftkings,211.5,-111,0.5261,0.6248,0.0987,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,12860,Dallas Goedert,PHI,TE,vs WAS,receptions,draftkings,3.5,-110,0.5238,0.6217,0.0979,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,12616,Calvin Ridley,TEN,WR,vs NYJ,recYds,draftkings,27.5,-110,0.5238,0.6205,0.0967,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,11718,Chris Godwin,TB,WR,@ CIN,recYds,circasports,44.5,-110,0.5238,0.6203,0.0965,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18460,Colston Loveland,CHI,TE,@ CAR,recYds,fanduel,52.5,-114,0.5327,0.6293,0.0965,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,17716,Brian Thomas,JAX,WR,vs CLE,receptions,betrivers,3.5,155,0.3922,0.4874,0.0952,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18460,Colston Loveland,CHI,TE,@ CAR,receptions,betrivers,4.5,-114,0.5327,0.6279,0.0952,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18514,Cam Skattebo,NYG,RB,vs DAL,rushYds,betrivers,47.5,-120,0.5455,0.6405,0.0951,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15891,Greg Dulcich,MIA,TE,@ LV,recYds,betr,25.5,-114,0.5327,0.6272,0.0945,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13556,David Montgomery,HOU,RB,vs BUF,recYds,thescore,9.5,-135,0.5745,0.6681,0.0936,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,19279,Kenyon Sadiq,NYJ,TE,@ TEN,receptions,fanduel,1.5,-108,0.5192,0.6126,0.0934,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,19298,Denzel Boston,CLE,WR,@ JAX,recYds,betrivers,22.5,-118,0.5413,0.6345,0.0932,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15802,Rachaad White,WAS,RB,@ PHI,rushYds,draftkings,23.5,-115,0.5349,0.6275,0.0926,5-10%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
