PlayerID,position,year,rush_att,rush_yards,pass_comp,pass_att,pass_yards,Receptions,rec_yards,pass_td,rec_td,rush_td,Targets
12196,TE,2025,0,0,0,0,0,6,66,0,0,0,9
17030,TE,2025,0,0,0,0,0,5,49,0,0,0,7
12559,TE,2025,7,33,0,0,0,59,691,0,5,0,84
18540,TE,2025,0,0,0,0,0,27,325,0,2,0,45
17811,TE,2025,9,36,0,0,0,63,565,0,4,0,82
15289,TE,2025,0,0,0,0,0,14,145,0,0,0,19
16036,TE,2025,0,0,0,0,0,19,184,0,1,0,24
19363,TE,2025,0,0,0,0,0,0,0,0,0,0,0
19448,TE,2025,0,0,0,0,0,10,107,0,0,0,15
17693,TE,2025,3,15,0,0,0,95,1070,0,6,0,135
18542,TE,2025,0,0,0,0,0,0,0,0,0,0,0
11887,TE,2025,0,0,0,0,0,0,2,0,0,0,0
14576,TE,2025,0,0,0,0,0,1,17,0,0,0,2
16039,TE,2025,0,0,0,0,0,12,130,0,0,0,16
12809,TE,2025,0,0,0,0,0,1,20,0,0,0,2
19426,TE,2025,0,0,0,0,0,5,53,0,0,0,7
17965,TE,2025,0,0,0,0,0,3,32,0,0,0,4
14629,TE,2025,0,0,0,0,0,0,0,0,0,0,0
18544,TE,2025,0,0,0,0,0,18,174,0,1,0,26
12986,TE,2025,0,0,0,0,0,8,81,0,0,0,12
15891,TE,2025,0,0,0,0,0,40,463,0,2,0,59
16720,TE,2025,0,0,0,0,0,3,36,0,0,0,5
19367,TE,2025,0,0,0,0,0,1,14,0,0,0,2
19258,TE,2025,0,0,0,0,0,20,183,0,1,0,26
11805,TE,2025,0,0,0,0,0,32,304,0,2,0,46
8781,TE,2025,0,0,0,0,0,10,100,0,0,0,14
18545,TE,2025,0,0,0,0,0,15,148,0,1,0,21
18472,TE,2025,4,16,0,0,0,76,810,0,5,0,115
13426,TE,2025,0,0,0,0,0,24,240,0,1,0,32
15566,TE,2025,0,0,0,0,0,4,43,0,0,0,6
15947,TE,2025,0,0,0,0,0,71,672,0,4,0,93
18497,TE,2025,0,0,0,0,0,22,269,0,2,0,40
16627,TE,2025,0,0,0,0,0,4,41,0,0,0,5
14306,TE,2025,0,0,0,0,0,0,0,0,0,0,0
15324,TE,2025,0,3,0,0,0,0,2,0,0,0,0
15267,TE,2025,0,0,0,0,0,46,464,0,3,0,62
18481,TE,2025,0,0,0,0,0,52,695,0,3,0,79
12764,TE,2025,0,0,0,0,0,47,456,0,3,0,66
12860,TE,2025,0,0,0,0,0,57,651,0,4,0,75
15245,TE,2025,0,0,0,0,0,1,12,0,0,0,1
15459,TE,2025,0,0,0,0,0,34,329,0,2,0,47
19351,TE,2025,0,0,0,0,0,8,85,0,0,0,11
18538,TE,2025,0,0,0,0,0,14,137,0,1,0,19
18503,TE,2025,0,0,0,0,0,57,541,0,3,0,77
10735,TE,2025,0,0,0,0,0,60,692,0,5,0,78
19364,TE,2025,0,0,0,0,0,11,113,0,0,0,15
10854,TE,2025,0,0,0,0,0,13,148,0,1,0,19
16959,TE,2025,0,0,0,0,0,20,183,0,1,0,27
17335,TE,2025,0,0,0,0,0,0,0,0,0,0,0
12063,TE,2025,6,38,0,0,0,2,22,0,0,0,3
13610,TE,2025,0,0,0,0,0,59,609,0,4,0,84
17824,TE,2025,0,0,0,0,0,1,15,0,0,0,2
10748,TE,2025,0,0,0,0,0,20,201,0,1,0,29
13286,TE,2025,0,0,0,0,0,4,39,0,0,0,5
14630,TE,2025,0,0,0,0,0,57,641,0,4,0,84
17021,TE,2025,0,0,0,0,0,26,298,0,1,0,40
19276,TE,2025,0,0,0,0,0,26,264,0,1,0,36
15369,TE,2025,0,0,0,0,0,1,9,0,0,0,1
19450,TE,2025,0,0,0,0,0,29,268,0,1,0,37
19359,TE,2025,0,0,0,0,0,8,80,0,0,0,11
8783,TE,2025,0,0,0,0,0,75,818,0,5,0,99
16282,TE,2025,0,0,0,0,0,0,3,0,0,0,0
16697,TE,2025,0,0,0,0,0,56,681,0,4,0,84
19356,TE,2025,0,0,0,0,0,9,91,0,0,0,13
