Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Odds,ImpliedProb,OurProb,Edge,RwProj,CapturedAt
2026,1,17696,Erick All,CIN,TE,vs TB,anytimeTD,caesars,0.5,450,0.1818,0.0952,-0.0867,0.1,2026-09-11T18:12:40.026Z
2026,1,17696,Erick All,CIN,TE,vs TB,anytimeTD,thescore,0.5,650,0.1333,0.0952,-0.0382,0.1,2026-09-11T18:12:40.026Z
2026,1,19258,Jack Endries,CIN,TE,vs TB,anytimeTD,betr,0.5,581,0.1468,0.0198,-0.1270,0,2026-09-11T18:12:40.026Z
2026,1,19258,Jack Endries,CIN,TE,vs TB,anytimeTD,draftkings,0.5,650,0.1333,0.0198,-0.1135,0,2026-09-11T18:12:40.026Z
2026,1,19258,Jack Endries,CIN,TE,vs TB,anytimeTD,fanduel,0.5,650,0.1333,0.0198,-0.1135,0,2026-09-11T18:12:40.026Z
2026,1,19258,Jack Endries,CIN,TE,vs TB,anytimeTD,betrivers,0.5,950,0.0952,0.0198,-0.0754,0,2026-09-11T18:12:40.026Z
2026,1,19258,Jack Endries,CIN,TE,vs TB,anytimeTD,caesars,0.5,625,0.1379,0.0198,-0.1181,0,2026-09-11T18:12:40.026Z
2026,1,19258,Jack Endries,CIN,TE,vs TB,anytimeTD,thescore,0.5,650,0.1333,0.0198,-0.1135,0,2026-09-11T18:12:40.026Z
2026,1,18519,Tahj Brooks,CIN,RB,vs TB,anytimeTD,betr,0.5,1067,0.0857,0.0676,-0.0181,0.1,2026-09-11T18:12:40.026Z
2026,1,18519,Tahj Brooks,CIN,RB,vs TB,anytimeTD,draftkings,0.5,1800,0.0526,0.0676,0.0150,0.1,2026-09-11T18:12:40.026Z
2026,1,18519,Tahj Brooks,CIN,RB,vs TB,anytimeTD,fanduel,0.5,2200,0.0435,0.0676,0.0241,0.1,2026-09-11T18:12:40.026Z
2026,1,18519,Tahj Brooks,CIN,RB,vs TB,anytimeTD,mgm,0.5,2500,0.0385,0.0676,0.0291,0.1,2026-09-11T18:12:40.026Z
2026,1,18519,Tahj Brooks,CIN,RB,vs TB,anytimeTD,betrivers,0.5,2400,0.0400,0.0676,0.0276,0.1,2026-09-11T18:12:40.026Z
2026,1,18519,Tahj Brooks,CIN,RB,vs TB,anytimeTD,caesars,0.5,1900,0.0500,0.0676,0.0176,0.1,2026-09-11T18:12:40.026Z
2026,1,18519,Tahj Brooks,CIN,RB,vs TB,anytimeTD,thescore,0.5,2000,0.0476,0.0676,0.0200,0.1,2026-09-11T18:12:40.026Z
2026,1,19447,Colbie Young,CIN,WR,vs TB,anytimeTD,betr,0.5,317,0.2398,0.0861,-0.1537,0.1,2026-09-11T18:12:40.026Z
2026,1,19447,Colbie Young,CIN,WR,vs TB,anytimeTD,draftkings,0.5,500,0.1667,0.0861,-0.0806,0.1,2026-09-11T18:12:40.026Z
